"T_004.SPC"
"WL/nm","Abs"
635.00,2.356
634.50,2.368
634.00,2.380
633.50,2.391
633.00,2.403
632.50,2.411
632.00,2.420
631.50,2.427
631.00,2.435
630.50,2.441
630.00,2.448
629.50,2.453
629.00,2.457
628.50,2.460
628.00,2.463
627.50,2.465
627.00,2.467
626.50,2.468
626.00,2.465
625.50,2.465
625.00,2.464
624.50,2.461
624.00,2.458
623.50,2.453
623.00,2.449
622.50,2.444
622.00,2.437
621.50,2.431
621.00,2.423
620.50,2.416
620.00,2.408
619.50,2.399
619.00,2.387
618.50,2.378
618.00,2.366
617.50,2.354
617.00,2.344
616.50,2.331
616.00,2.318
615.50,2.306
615.00,2.292
614.50,2.278
614.00,2.263
613.50,2.249
613.00,2.235
612.50,2.219
612.00,2.204
611.50,2.188
611.00,2.172
610.50,2.155
610.00,2.138
609.50,2.121
609.00,2.104
608.50,2.087
608.00,2.071
607.50,2.053
607.00,2.036
606.50,2.018
606.00,2.000
605.50,1.985
605.00,1.967
604.50,1.949
604.00,1.933
603.50,1.915
603.00,1.898
602.50,1.882
602.00,1.864
601.50,1.847
601.00,1.831
600.50,1.815
600.00,1.799
599.50,1.783
599.00,1.767
598.50,1.751
598.00,1.736
597.50,1.721
597.00,1.705
596.50,1.691
596.00,1.676
595.50,1.661
595.00,1.646
594.50,1.632
594.00,1.618
593.50,1.605
593.00,1.592
592.50,1.577
592.00,1.564
591.50,1.551
591.00,1.538
590.50,1.525
590.00,1.513
589.50,1.501
589.00,1.489
588.50,1.477
588.00,1.464
587.50,1.453
587.00,1.442
586.50,1.430
586.00,1.419
585.50,1.409
585.00,1.398
584.50,1.388
584.00,1.378
583.50,1.369
583.00,1.359
582.50,1.349
582.00,1.340
581.50,1.331
581.00,1.321
580.50,1.313
580.00,1.303
579.50,1.295
579.00,1.286
578.50,1.278
578.00,1.271
577.50,1.263
577.00,1.255
576.50,1.248
576.00,1.240
575.50,1.233
575.00,1.226
574.50,1.219
574.00,1.213
573.50,1.206
573.00,1.199
572.50,1.193
572.00,1.186
571.50,1.181
571.00,1.175
570.50,1.168
570.00,1.163
569.50,1.157
569.00,1.151
568.50,1.146
568.00,1.141
567.50,1.136
567.00,1.131
566.50,1.126
566.00,1.120
565.50,1.116
565.00,1.111
564.50,1.106
564.00,1.102
563.50,1.098
563.00,1.093
562.50,1.089
562.00,1.085
561.50,1.081
561.00,1.077
560.50,1.073
560.00,1.069
559.50,1.066
559.00,1.062
558.50,1.058
558.00,1.055
557.50,1.052
557.00,1.048
556.50,1.045
556.00,1.042
555.50,1.039
555.00,1.036
554.50,1.033
554.00,1.030
553.50,1.028
553.00,1.025
552.50,1.023
552.00,1.021
551.50,1.018
551.00,1.016
550.50,1.013
550.00,1.011
549.50,1.009
549.00,1.007
548.50,1.005
548.00,1.003
547.50,1.001
547.00,0.999
546.50,0.997
546.00,0.995
545.50,0.993
545.00,0.991
544.50,0.989
544.00,0.988
543.50,0.986
543.00,0.984
542.50,0.983
542.00,0.981
541.50,0.979
541.00,0.977
540.50,0.976
540.00,0.974
539.50,0.972
539.00,0.971
538.50,0.969
538.00,0.967
537.50,0.965
537.00,0.964
