"O_003.SPC"
"WL/nm","Abs"
525.00,0.675
524.50,0.669
524.00,0.663
523.50,0.658
523.00,0.653
522.50,0.647
522.00,0.642
521.50,0.637
521.00,0.631
520.50,0.625
520.00,0.620
519.50,0.615
519.00,0.610
518.50,0.605
518.00,0.599
517.50,0.594
517.00,0.589
516.50,0.584
516.00,0.579
515.50,0.574
515.00,0.569
514.50,0.564
514.00,0.559
513.50,0.554
513.00,0.548
512.50,0.543
512.00,0.539
511.50,0.534
511.00,0.529
510.50,0.524
510.00,0.520
509.50,0.515
509.00,0.510
508.50,0.506
508.00,0.501
507.50,0.497
507.00,0.493
506.50,0.488
506.00,0.484
505.50,0.479
505.00,0.475
504.50,0.471
504.00,0.467
503.50,0.464
503.00,0.460
502.50,0.456
502.00,0.452
501.50,0.449
501.00,0.445
500.50,0.442
500.00,0.438
499.50,0.435
499.00,0.432
498.50,0.428
498.00,0.425
497.50,0.422
497.00,0.420
496.50,0.417
496.00,0.414
495.50,0.411
495.00,0.409
494.50,0.406
494.00,0.404
493.50,0.402
493.00,0.399
492.50,0.397
492.00,0.395
491.50,0.393
491.00,0.391
490.50,0.389
490.00,0.387
489.50,0.385
489.00,0.384
488.50,0.382
488.00,0.381
487.50,0.379
487.00,0.378
486.50,0.376
486.00,0.375
485.50,0.374
485.00,0.373
484.50,0.372
484.00,0.371
483.50,0.370
483.00,0.369
482.50,0.368
482.00,0.367
481.50,0.366
481.00,0.365
480.50,0.365
480.00,0.364
479.50,0.364
479.00,0.363
478.50,0.362
478.00,0.362
477.50,0.361
477.00,0.361
476.50,0.361
476.00,0.360
475.50,0.360
475.00,0.359
474.50,0.359
474.00,0.359
473.50,0.359
473.00,0.358
472.50,0.358
472.00,0.358
471.50,0.358
471.00,0.358
470.50,0.358
470.00,0.357
469.50,0.357
469.00,0.357
468.50,0.357
468.00,0.357
467.50,0.357
467.00,0.357
466.50,0.357
466.00,0.357
465.50,0.357
465.00,0.357
464.50,0.357
464.00,0.357
463.50,0.357
463.00,0.357
462.50,0.357
462.00,0.358
461.50,0.358
461.00,0.358
460.50,0.358
460.00,0.358
459.50,0.358
459.00,0.358
458.50,0.358
458.00,0.359
457.50,0.359
457.00,0.359
456.50,0.359
456.00,0.359
455.50,0.359
455.00,0.360
454.50,0.360
454.00,0.360
453.50,0.360
453.00,0.361
452.50,0.361
452.00,0.361
451.50,0.361
451.00,0.362
450.50,0.362
450.00,0.362
449.50,0.362
449.00,0.363
448.50,0.363
448.00,0.363
447.50,0.363
447.00,0.364
446.50,0.364
446.00,0.364
445.50,0.365
445.00,0.365
444.50,0.365
444.00,0.366
443.50,0.366
443.00,0.366
442.50,0.367
442.00,0.367
441.50,0.367
441.00,0.368
440.50,0.368
440.00,0.368
439.50,0.369
439.00,0.369
438.50,0.369
438.00,0.370
437.50,0.370
437.00,0.371
436.50,0.371
436.00,0.371
435.50,0.371
435.00,0.372
434.50,0.372
434.00,0.373
433.50,0.373
433.00,0.373
432.50,0.374
432.00,0.374
431.50,0.374
431.00,0.375
430.50,0.375
430.00,0.375
429.50,0.376
429.00,0.376
428.50,0.377
428.00,0.377
427.50,0.377
427.00,0.378
426.50,0.378
426.00,0.378
425.50,0.379
425.00,0.379
424.50,0.379
424.00,0.380
423.50,0.380
423.00,0.381
422.50,0.381
422.00,0.381
421.50,0.382
421.00,0.382
420.50,0.382
420.00,0.383
419.50,0.383
419.00,0.384
418.50,0.384
418.00,0.384
417.50,0.385
417.00,0.385
416.50,0.386
416.00,0.386
415.50,0.386
415.00,0.387
414.50,0.387
414.00,0.388
413.50,0.388
413.00,0.388
412.50,0.389
412.00,0.389
411.50,0.390
411.00,0.390
410.50,0.390
410.00,0.391
409.50,0.391
409.00,0.392
408.50,0.392
408.00,0.393
407.50,0.393
407.00,0.393
406.50,0.394
406.00,0.394
405.50,0.395
405.00,0.395
404.50,0.396
404.00,0.396
403.50,0.396
403.00,0.397
402.50,0.397
402.00,0.398
401.50,0.398
401.00,0.399
400.50,0.399
400.00,0.399
399.50,0.400
399.00,0.400
398.50,0.401
398.00,0.401
397.50,0.402
397.00,0.402
396.50,0.402
396.00,0.403
395.50,0.403
395.00,0.404
394.50,0.404
394.00,0.404
393.50,0.405
393.00,0.405
392.50,0.406
392.00,0.406
391.50,0.406
391.00,0.407
390.50,0.407
390.00,0.408
389.50,0.408
389.00,0.408
388.50,0.409
388.00,0.409
387.50,0.409
387.00,0.410
386.50,0.410
386.00,0.411
385.50,0.411
385.00,0.411
384.50,0.412
384.00,0.412
383.50,0.412
383.00,0.413
382.50,0.413
382.00,0.413
381.50,0.414
381.00,0.414
380.50,0.414
380.00,0.414
379.50,0.415
379.00,0.415
378.50,0.415
378.00,0.415
377.50,0.416
377.00,0.416
376.50,0.416
376.00,0.417
375.50,0.417
375.00,0.417
374.50,0.417
374.00,0.417
373.50,0.418
373.00,0.418
372.50,0.418
372.00,0.418
371.50,0.419
371.00,0.419
370.50,0.419
370.00,0.419
369.50,0.419
369.00,0.419
368.50,0.419
368.00,0.420
367.50,0.420
367.00,0.420
366.50,0.420
366.00,0.420
365.50,0.421
365.00,0.420
364.50,0.420
364.00,0.420
363.50,0.421
363.00,0.421
362.50,0.421
362.00,0.421
361.50,0.421
361.00,0.420
360.50,0.421
360.00,0.421
359.50,0.421
359.00,0.421
358.50,0.421
358.00,0.421
357.50,0.421
357.00,0.421
356.50,0.421
356.00,0.421
355.50,0.421
355.00,0.421
354.50,0.421
354.00,0.421
353.50,0.421
353.00,0.422
352.50,0.421
352.00,0.422
351.50,0.422
351.00,0.422
350.50,0.423
350.00,0.423
349.50,0.423
349.00,0.423
348.50,0.423
348.00,0.424
347.50,0.425
347.00,0.426
346.50,0.426
346.00,0.426
345.50,0.428
345.00,0.428
344.50,0.429
344.00,0.430
343.50,0.431
343.00,0.431
342.50,0.432
342.00,0.433
341.50,0.434
341.00,0.434
340.50,0.436
340.00,0.437
339.50,0.437
339.00,0.438
338.50,0.440
338.00,0.441
337.50,0.442
337.00,0.442
336.50,0.444
336.00,0.444
335.50,0.446
335.00,0.447
334.50,0.448
334.00,0.449
333.50,0.450
333.00,0.451
332.50,0.452
332.00,0.453
331.50,0.455
331.00,0.455
330.50,0.457
330.00,0.458
329.50,0.459
329.00,0.460
328.50,0.460
328.00,0.462
327.50,0.463
327.00,0.465
326.50,0.465
326.00,0.467
325.50,0.468
325.00,0.469
324.50,0.470
324.00,0.471
323.50,0.472
323.00,0.473
322.50,0.474
322.00,0.475
321.50,0.476
321.00,0.477
320.50,0.478
320.00,0.479
319.50,0.480
319.00,0.482
318.50,0.483
318.00,0.484
317.50,0.485
317.00,0.485
316.50,0.486
316.00,0.488
315.50,0.489
315.00,0.490
314.50,0.491
314.00,0.492
313.50,0.492
313.00,0.494
312.50,0.495
312.00,0.495
311.50,0.497
311.00,0.497
310.50,0.498
310.00,0.499
309.50,0.500
309.00,0.500
308.50,0.502
308.00,0.502
307.50,0.504
307.00,0.504
306.50,0.505
306.00,0.506
305.50,0.507
305.00,0.507
304.50,0.508
304.00,0.509
303.50,0.510
303.00,0.510
302.50,0.511
302.00,0.512
301.50,0.513
301.00,0.513
300.50,0.514
300.00,0.514
